parent_asin,title,description,features,categories,retrieval_text
B001JV5BF8,The Wiz,"Ease on down the yellow-brick road with The Wiz, starring superstars Diana Ross and Michael Jackson! Relive all of the magic of this beloved musical when Dorothy is whisked away to the enchanting wonderland of Oz, where she encounters the Scarecrow, the Tin Man and the Lion. The Wiz features spectacular musical numbers from legendary producer Quincy Jones and an all-star cast including Lena Horne, Richard Pryor, Nipsey Russell and Ted Ross. With a digitally remastered picture and the unforgettable soundtrack in new 5.1 surround sound, it's an experience of the land of Oz unlike anything you've seen before!Bonus Content: Wiz on Down the Road Wiz on Down the Road Trailer Trailer",,"Movies & TV Music Artists Jackson, Michael","The Wiz. Ease on down the yellow-brick road with The Wiz, starring superstars Diana Ross and Michael Jackson! Relive all of the magic of this beloved musical when Dorothy is whisked away to the enchanting wonderland of Oz, where she encounters the Scarecrow, the Tin Man and the Lion. The Wiz features spectacular musical numbers from legendary producer Quincy Jones and an all-star cast including Lena Horne, Richard Pryor, Nipsey Russell and Ted Ross. With a digitally remastered picture and the unforgettable soundtrack in new 5.1 surround sound, it's an experience of the land of Oz unlike anything you've seen before!Bonus Content: Wiz on Down the Road Wiz on Down the Road Trailer Trailer  Movies & TV Music Artists Jackson, Michael"
B07FLP19K1,On The Case with Paula Zahn,"On The Case with Paula Zahn takes viewers on an exciting journey inside the most fascinating crime and mystery investigations. First person accounts, along with insight from experts are featured as each case reaches its dramatic conclusion.",2018 19 episodes 13+,Suspense Drama Special Interest,"On The Case with Paula Zahn. On The Case with Paula Zahn takes viewers on an exciting journey inside the most fascinating crime and mystery investigations. First person accounts, along with insight from experts are featured as each case reaches its dramatic conclusion. 2018 19 episodes 13+ Suspense Drama Special Interest"
B007WWRJA8,Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging),"Product Description Rediscover the timeless story, the memorable music and unforgettable characters -- now more enchanting than ever with pristine digital picture and dazzling high definition sound! Cinderella has faith her dreams will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically transformed into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving only a single glass slipper...the only key to the ultimate fairy-tale ending!|The public made CINDERELLA one of the highest-grossing films of the year and Disney's most successful release since BAMBI. In fact, it was one of the top-grossing films of 1950, pulling in $4 million during its initial release.|Animators were having trouble drawing Lucifer the cat in CINDERELLA when Walt Disney saw animator Ward Kimball's cat, a furry calico, and declared, ""There's your Lucifer."" Amazon.com Related Products See more Cinderella Amazon's Disney Store See more Disney Movies Versions of Cinderella on Blu-ray and DVD Cinderella Also available in Spanish Version Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in DVD Packaging) Also available in Spanish Version Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging) Also available in Spanish Version Cinderella (Three-Disc Diamond Edition: Blu-ray/DVD + Digital Copy) Cinderella Trilogy Limited Edition in Collectible Jewelry Box Packaging (Six-Disc Combo: Blu-ray/DVD + Digital Copy) Release Date November 20, 2012 October 2, 2012 October 2, 2012 October 2, 2012 October 2, 2012 Format/Disc # DVD/ 1 Disc Blu-ray, DVD/ 2 Discs Blu-ray, DVD/ 2 Discs  Blu-ray, DVD, Digital Copy/ 3 Discs Blu-ray, DVD, Digital Copy/ 6 Discs Blu-ray No Yes Yes Yes Yes DVD Yes Yes Yes Yes Yes Digital Copy No No No Yes Yes Bonus Features - ""Tangled Ever After” Animated Short- Behind the Magic: A New Disney Princess Fantasyland  - Diane Disney Miller Intro  Same as DVD Plus- Personalized Digital Storybook: Bibbidi-Bobbidi-You (Disney Second Screen Experience)- The Magic of the Glass Slipper: A Cinderella Story- DisneyView - Classic DVD Bonus Same as DVD Plus- Personalized Digital Storybook: Bibbidi-Bobbidi-You (Disney Second Screen Experience)- The Magic of the Glass Slipper: A Cinderella Story- DisneyView - Classic DVD Bonus Same as Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging) - Digital Copy Comes in Limited Edition Collectible Jewelry Box PackagingIncludes all Three Cinderella Films:- Cinderella - Cinderella II: Dreams Comes True - Cinderella III: A Twist in Time *Blu-ray Version of Cinderella II and Cinderella III come on a single Blu-ray discDigital Copy of Cinderella only  Bonus Features are same as Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging)",,Movies & TV Blu-ray Movies,"Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging). Product Description Rediscover the timeless story, the memorable music and unforgettable characters -- now more enchanting than ever with pristine digital picture and dazzling high definition sound! Cinderella has faith her dreams will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically transformed into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving only a single glass slipper...the only key to the ultimate fairy-tale ending!|The public made CINDERELLA one of the highest-grossing films of the year and Disney's most successful release since BAMBI. In fact, it was one of the top-grossing films of 1950, pulling in $4 million during its initial release.|Animators were having trouble drawing Lucifer the cat in CINDERELLA when Walt Disney saw animator Ward Kimball's cat, a furry calico, and declared, ""There's your Lucifer."" Amazon.com Related Products See more Cinderella Amazon's Disney Store See more Disney Movies Versions of Cinderella on Blu-ray and DVD Cinderella Also available in Spanish Version Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in DVD Packaging) Also available in Spanish Version Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging) Also available in Spanish Version Cinderella (Three-Disc Diamond Edition: Blu-ray/DVD + Digital Copy) Cinderella Trilogy Limited Edition in Collectible Jewelry Box Packaging (Six-Disc Combo: Blu-ray/DVD + Digital Copy) Release Date November 20, 2012 October 2, 2012 October 2, 2012 October 2, 2012 October 2, 2012 Format/Disc # DVD/ 1 Disc Blu-ray, DVD/ 2 Discs Blu-ray, DVD/ 2 Discs  Blu-ray, DVD, Digital Copy/ 3 Discs Blu-ray, DVD, Digital Copy/ 6 Discs Blu-ray No Yes Yes Yes Yes DVD Yes Yes Yes Yes Yes Digital Copy No No No Yes Yes Bonus Features - ""Tangled Ever After” Animated Short- Behind the Magic: A New Disney Princess Fantasyland  - Diane Disney Miller Intro  Same as DVD Plus- Personalized Digital Storybook: Bibbidi-Bobbidi-You (Disney Second Screen Experience)- The Magic of the Glass Slipper: A Cinderella Story- DisneyView - Classic DVD Bonus Same as DVD Plus- Personalized Digital Storybook: Bibbidi-Bobbidi-You (Disney Second Screen Experience)- The Magic of the Glass Slipper: A Cinderella Story- DisneyView - Classic DVD Bonus Same as Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging) - Digital Copy Comes in Limited Edition Collectible Jewelry Box PackagingIncludes all Three Cinderella Films:- Cinderella - Cinderella II: Dreams Comes True - Cinderella III: A Twist in Time *Blu-ray Version of Cinderella II and Cinderella III come on a single Blu-ray discDigital Copy of Cinderella only  Bonus Features are same as Cinderella (Two-Disc Diamond Edition Blu-ray/DVD Combo in Blu-ray Packaging)  Movies & TV Blu-ray Movies"
B001QTXM5Y,Watchmen (Director's Cut),"Product Description Watchmen: Special Edition (Dbl DVD) ]]> Amazon.com Everybody's favorite graphic novel comes to the screen (after years of rumors and false starts), less a roaring work of adaptation than a respectful and faithful take on a radical original. Watchmen is set in the mid-1980s, a time of increased nuclear tension between the United States and the Soviet Union, as Richard Nixon is enjoying his fifth term as president and the world's superheroes have been forcibly retired. (As you can probably tell, the mix of authentic history and alternate reality is heady.) Things begin with a bang: the mysterious high-rise murder of the Comedian (Jeffrey Dean Morgan), a masked hero with a checkered past, puts the rest of the retired superhero community on alert. The credits sequence, a series of tableaux that wittily catches us up on crime-fighting backstory, actually turns out to be the high point of the movie. Thereafter we meet the other caped and hooded avengers: the furious Rorschach (Jackie Earle Haley), the inexplicably naked Dr. Manhattan (Billy Crudup, amidst much blue-skinned, genital-swinging digital work), Silk Spectre II (Malin Akerman), Nite Owl II (Patrick Wilson), and Ozymandias (Matthew Goode). The corkscrewing storytelling, which worked well in the comic book, gives the movie the strange sense of never quite getting in gear, even as some of the episodes are arresting. Director Zack Snyder ( 300 ) doesn't try to approximate the electric impact of the original (written by Alan Moore--who declined to be credited on the movie--and illustrated by Dave Gibbons) but retains careful fidelity to his source material. That doesn't feel right, even with the generally enjoyable roll-out of anecdotes. Even less forgivable is the blah acting, excepting Jeffrey Dean Morgan (lusty) and Patrick Wilson (mellow). Watchmen certainly fills the eyes, although less so the ears: the song choices are regrettable, especially during an embarrassing mid-air coupling between Nite Owl II and Silk Spectre II as they unite their--ah--Roman numerals. In the end it feels as though a huge work of transcription has been successfully completed, which isn't the same as making a full-blooded movie experience. --Robert Horton Also on the disc The extended director's cut restores 24 minutes of connective tissue to the 162-minute film, most significantly the last scene of Hollis Mason, the first Nite Owl. Other elements help restore and fill in details that had been in the graphic novel. Fans of the film will be glad for the extra footage but there's nothing momentous that will change anyone's basic like or dislike of the film. The second disc has the documentary ""The Phenomenon: The Comic That Changed Comics,"" 29 min.), which looks at the original graphic novel and its themes, and interviews artist Dave Gibbons, DC Comics executives Jenette Kahn and Paul Levitz, and cast and crew, illustrating its points with scenes from the movie, panels from the graphic novel, and parts of the motion comic. There's also My Chemical Romance's ""Desolation Row"" music video and the 11 video journals that helped stir up excitement leading up to the theatrical run. No longer available is a Digital Copy of the film (compatible with both iTunes and Windows Media; download code expires July 21, 2010)l. --David Horiuchi",,Movies & TV Genre for Featured Categories Action & Adventure,"Watchmen (Director's Cut). Product Description Watchmen: Special Edition (Dbl DVD) ]]> Amazon.com Everybody's favorite graphic novel comes to the screen (after years of rumors and false starts), less a roaring work of adaptation than a respectful and faithful take on a radical original. Watchmen is set in the mid-1980s, a time of increased nuclear tension between the United States and the Soviet Union, as Richard Nixon is enjoying his fifth term as president and the world's superheroes have been forcibly retired. (As you can probably tell, the mix of authentic history and alternate reality is heady.) Things begin with a bang: the mysterious high-rise murder of the Comedian (Jeffrey Dean Morgan), a masked hero with a checkered past, puts the rest of the retired superhero community on alert. The credits sequence, a series of tableaux that wittily catches us up on crime-fighting backstory, actually turns out to be the high point of the movie. Thereafter we meet the other caped and hooded avengers: the furious Rorschach (Jackie Earle Haley), the inexplicably naked Dr. Manhattan (Billy Crudup, amidst much blue-skinned, genital-swinging digital work), Silk Spectre II (Malin Akerman), Nite Owl II (Patrick Wilson), and Ozymandias (Matthew Goode). The corkscrewing storytelling, which worked well in the comic book, gives the movie the strange sense of never quite getting in gear, even as some of the episodes are arresting. Director Zack Snyder ( 300 ) doesn't try to approximate the electric impact of the original (written by Alan Moore--who declined to be credited on the movie--and illustrated by Dave Gibbons) but retains careful fidelity to his source material. That doesn't feel right, even with the generally enjoyable roll-out of anecdotes. Even less forgivable is the blah acting, excepting Jeffrey Dean Morgan (lusty) and Patrick Wilson (mellow). Watchmen certainly fills the eyes, although less so the ears: the song choices are regrettable, especially during an embarrassing mid-air coupling between Nite Owl II and Silk Spectre II as they unite their--ah--Roman numerals. In the end it feels as though a huge work of transcription has been successfully completed, which isn't the same as making a full-blooded movie experience. --Robert Horton Also on the disc The extended director's cut restores 24 minutes of connective tissue to the 162-minute film, most significantly the last scene of Hollis Mason, the first Nite Owl. Other elements help restore and fill in details that had been in the graphic novel. Fans of the film will be glad for the extra footage but there's nothing momentous that will change anyone's basic like or dislike of the film. The second disc has the documentary ""The Phenomenon: The Comic That Changed Comics,"" 29 min.), which looks at the original graphic novel and its themes, and interviews artist Dave Gibbons, DC Comics executives Jenette Kahn and Paul Levitz, and cast and crew, illustrating its points with scenes from the movie, panels from the graphic novel, and parts of the motion comic. There's also My Chemical Romance's ""Desolation Row"" music video and the 11 video journals that helped stir up excitement leading up to the theatrical run. No longer available is a Digital Copy of the film (compatible with both iTunes and Windows Media; download code expires July 21, 2010)l. --David Horiuchi  Movies & TV Genre for Featured Categories Action & Adventure"
B01KBKKU7G,Seven Girlfriends,"Jesse  has never had a problem finding a girlfriend. It's maintaining the relationship that's his issue. When an ex-girlfriend of his dies, Jesse impulsively asks his most recent fling, Hannah, to marry him -- a proposal she quickly turns down. Left confused by the rejection and his dating history, Jesse decides to seek out his former loves for answers on why the relationships ended.",IMDb 5.7 1 h 32 min 2000 R,Comedy Romance Charming Intense,"Seven Girlfriends. Jesse  has never had a problem finding a girlfriend. It's maintaining the relationship that's his issue. When an ex-girlfriend of his dies, Jesse impulsively asks his most recent fling, Hannah, to marry him -- a proposal she quickly turns down. Left confused by the rejection and his dating history, Jesse decides to seek out his former loves for answers on why the relationships ended. IMDb 5.7 1 h 32 min 2000 R Comedy Romance Charming Intense"
0792163087,Angela's Ashes [DVD],No Description Available. Genre: Feature Film-Drama Rating: R Release Date: 12-MAR-2002 Media Type: DVD,,Movies & TV Paramount Home Entertainment Drama,Angela's Ashes [DVD]. No Description Available. Genre: Feature Film-Drama Rating: R Release Date: 12-MAR-2002 Media Type: DVD  Movies & TV Paramount Home Entertainment Drama
B07R6YJMW5,A Husband For Christmas,"Two co-workers agree to a loveless marriage of convenience, but as they become acquainted, an unrealized chemistry grows between them.",IMDb 4.9 1 h 27 min 2016 X-Ray 13+,Comedy Drama Charming Passionate,"A Husband For Christmas. Two co-workers agree to a loveless marriage of convenience, but as they become acquainted, an unrealized chemistry grows between them. IMDb 4.9 1 h 27 min 2016 X-Ray 13+ Comedy Drama Charming Passionate"
B008X0TMRG,Watchers 4,"L.A. Marzulli continues with Dr. Leir's latest implant tests, and on to Texas where we probe into the Nephilim. The latest Torah Codes, as well as an exclusive interview with Jonathan Daniels from the Knesset, and finally -- what it is like to die and go to hell?",IMDb 3.7 1 h 20 min 1998 NR,Science Fiction Horror Documentary Special Interest,"Watchers 4. L.A. Marzulli continues with Dr. Leir's latest implant tests, and on to Texas where we probe into the Nephilim. The latest Torah Codes, as well as an exclusive interview with Jonathan Daniels from the Knesset, and finally -- what it is like to die and go to hell? IMDb 3.7 1 h 20 min 1998 NR Science Fiction Horror Documentary Special Interest"
B013488XFS,Sneaky Pete,"A con man (Giovanni Ribisi) on the run from a vicious gangster (Bryan Cranston) takes cover from his past by assuming the identity of his prison cellmate, Pete, ""reuniting"" with Pete's estranged family, a colorful, dysfunctional group that threatens to drag him into a world just as dangerous as the one he's trying to escape - and, just maybe, give him a taste of the loving family he's never had.",IMDb 8.1 2017 10 episodes X-Ray HDR UHD 18+,Suspense Drama,"Sneaky Pete. A con man (Giovanni Ribisi) on the run from a vicious gangster (Bryan Cranston) takes cover from his past by assuming the identity of his prison cellmate, Pete, ""reuniting"" with Pete's estranged family, a colorful, dysfunctional group that threatens to drag him into a world just as dangerous as the one he's trying to escape - and, just maybe, give him a taste of the loving family he's never had. IMDb 8.1 2017 10 episodes X-Ray HDR UHD 18+ Suspense Drama"
B001JNNDRY,Columbo: Mystery Movie Collection 1990 [DVD],"The legendary Peter Falk returns in his four-time Primetime Emmy® award-winning role as rumpled and ready Police Lieutenant Columbo in this six TV-movie collection, now available on DVD for the first time! This must-own three-disc set features the iconic trenchcoat-wearing sleuth who’s still asking “just one more thing.” Joining him is a roster of dazzling guest stars, including Deidre Hall, Mark Margolis, Stanley Kamel, Dick Sargent, Andrew Stevens, Brenda Vaccaro and Robert Culp. Smart, witty and entertaining, it’s no mystery why the Columbo Mystery Movie Collection 1990 is killer viewing for every fan of the genre.",,Movies & TV Boxed Sets Mystery & Suspense,"Columbo: Mystery Movie Collection 1990 [DVD]. The legendary Peter Falk returns in his four-time Primetime Emmy® award-winning role as rumpled and ready Police Lieutenant Columbo in this six TV-movie collection, now available on DVD for the first time! This must-own three-disc set features the iconic trenchcoat-wearing sleuth who’s still asking “just one more thing.” Joining him is a roster of dazzling guest stars, including Deidre Hall, Mark Margolis, Stanley Kamel, Dick Sargent, Andrew Stevens, Brenda Vaccaro and Robert Culp. Smart, witty and entertaining, it’s no mystery why the Columbo Mystery Movie Collection 1990 is killer viewing for every fan of the genre.  Movies & TV Boxed Sets Mystery & Suspense"
